"DOHREGION,C,12",LATITUDE,LONGITUDE,"POP_TOT,N,31,15","F_TOT,N,31,15","M_TOT,N,31,15","W_TOT,N,31,15","B_TOT,N,31,15","AI_TOT,N,31,15","A_TOT,N,31,15","PI_TOT,N,31,15","O_TOT,N,31,15","MU_TOT,N,31,15","NH_TOT,N,31,15","H_TOT,N,31,15","HH_SIZE,N,31,15","HU_OCC,N,31,15","HU_VAC,N,31,15","TOT_LT_HS,N,31,15","TOT_HSPLUS,N,31,15","POVUNDER,N,31,15","POVOVER,N,31,15"
3.60E+11,40.5746,-74.0567,984,518,466,257,628,5,30,0,40,24,913,71,2,391,64,184,662,334,1037
3.60E+11,40.5746,-74.0567,1155,638,517,249,768,4,25,0,44,65,1028,127,3,393,62,142,347,370,454
3.60E+11,40.5746,-74.0567,2878,1619,1259,287,2322,3,16,0,149,101,2527,351,3,1145,61,427,781,1493,1390
3.60E+11, , ,984,502,482,192,702,3,11,0,48,28,873,111,2,439,114,60,494,152,584
3.60E+11,40.5796,rew!7,1177,594,583,970,114,0,43,1,25,24,1100,77,2,584,178,41,694,88,795
3.60E+11,40.5746,-74.0567,1676,889,787,447,940,14,47,0,113,115,1413,263,3,612,149,473,538,897,1464
3.60E+11,40.5746,-74.0567,1394,752,642,1087,185,1,85,0,14,22,1338,56,2,678,66,121,783,0,735
3.60E+11,40.5746,-74.0567,1641,829,812,437,960,4,38,0,104,98,1422,219,2,707,67,293,1004,924,1213
3.60E+11,40.5746,-74.0567,2227,1402,825,1921,205,2,56,0,16,27,2174,53,2,1017,57,209,1789,81,1642
3.60E+11,40.5746,-74.0567,1306,709,597,876,134,5,235,0,16,40,1247,59,2,647,21,21,1083,550,1342
3.60E+11,40.5746,-74.0567,1462,802,660,1168,126,0,133,0,6,29,1415,47,2,705,49,82,1061,184,1332
3.60E+11,40.5746,-74.0567,725,364,361,596,74,0,32,0,12,11,692,33,2,349,13,21,507,33,495
3.60E+11,40.5746,-74.0567,922,462,460,746,93,0,43,1,18,21,860,62,2,495,27,0,601,126,610
3.60E+11,40.5746,-74.0567,1152,533,619,488,514,16,20,0,53,61,1008,144,2,565,31,306,418,683,649
3.60E+11,40.5746,-74.0567,997,460,537,594,214,4,100,0,48,37,886,111,2,514,21,116,485,96,653
3.60E+11,40.5746,-74.0567,1987,884,1103,1044,601,13,99,1,119,110,1743,244,2,796,134,203,619,1092,996
3.60E+11,40.5746,-74.0567,774,408,366,90,622,2,16,0,23,21,731,43,2,316,43,37,481,154,815
3.60E+11,40.5746,-74.0567,941,529,412,153,677,1,1,3,49,57,801,140,3,334,104,185,426,697,455
3.60E+11,40.5746,-74.0567,1052,546,506,93,902,1,0,0,28,28,983,69,3,382,110,131,675,282,1032
3.60E+11,40.5746,-74.0567,1054,572,482,119,789,4,6,0,91,45,923,131,3,381,226,133,279,522,221
3.60E+11,40.5746,-74.0567,724,338,386,286,368,5,28,0,18,19,658,66,2,296,86,107,188,46,276
3.60E+11,40.5746,-74.0567,1169,503,666,462,510,7,88,0,52,50,1042,127,1,705,107,365,840,723,722
3.60E+11,40.5746,-74.0567,1795,791,1004,1498,141,2,57,3,44,50,1667,128,1,1208,161,95,1271,300,1538
3.60E+11,40.5746,-74.0567,1300,546,754,1071,108,2,64,1,23,31,1239,61,1,866,107,51,1075,292,1309
3.60E+11,40.5746,-74.0567,465,229,236,294,104,2,34,0,12,19,438,27,1,330,21,60,212,102,201
3.60E+11,40.5746,-74.0567,1830,824,1006,1484,170,6,85,0,27,58,1707,123,2,923,120,110,503,859,797
3.60E+11,40.5746,-74.0567,1748,873,875,1282,242,6,76,1,71,70,1607,141,3,619,51,37,494,671,608
3.60E+11,40.5746,-74.0567,844,411,433,661,87,1,60,0,11,24,795,49,2,369,30,21,440,164,578
3.60E+11,40.5746,-74.0567,730,392,338,542,122,1,25,0,3,37,686,44,2,342,13,26,563,119,596
3.60E+11,40.5746,-74.0567,951,475,476,782,92,4,49,1,6,17,894,57,2,438,20,28,571,261,691
3.60E+11,40.5746,-74.0567,997,453,544,752,117,5,71,0,23,29,918,79,2,480,35,67,436,71,733
3.60E+11,40.5746,-74.0567,1152,602,550,893,134,7,72,1,23,22,1088,64,2,503,54,28,781,160,1139
3.60E+11,40.5746,-74.0567,1350,731,619,981,223,3,72,0,14,57,1293,57,2,606,40,188,969,68,1097
3.60E+11,40.5746,-74.0567,522,288,234,462,22,0,14,0,8,16,487,35,2,235,9,0,449,11,575
3.60E+11,40.5746,-74.0567,642,323,319,590,21,1,19,0,7,4,620,22,2,283,7,15,685,83,771
3.60E+11,40.5746,-74.0567,1526,839,687,1382,58,3,64,0,7,12,1477,49,2,770,44,14,1210,83,1455
3.60E+11,40.5746,-74.0567,1424,813,611,1110,167,0,101,0,14,32,1347,77,2,683,24,88,972,43,1173
3.60E+11,40.5746,-74.0567,902,499,403,796,64,0,32,0,2,8,882,20,2,440,22,10,579,14,735
3.60E+11,40.5746,-74.0567,2085,1152,933,1806,125,1,114,2,5,32,2040,45,2,1070,51,85,1758,141,2168
3.60E+11,40.5746,-74.0567,863,453,410,679,64,2,72,18,10,18,830,33,2,443,18,51,532,80,744
3.60E+11,40.5746,-74.0567,1503,821,682,1270,134,1,74,0,2,22,1474,29,2,779,35,237,1152,233,1589
3.60E+11,40.5746,-74.0567,566,286,280,482,34,0,22,0,9,19,547,19,2,289,12,39,426,48,519
3.60E+11,40.5746,-74.0567,884,480,404,745,59,0,43,0,12,25,833,51,2,462,33,38,653,95,843
3.60E+11,40.5746,-74.0567,578,306,272,487,37,4,23,0,6,21,551,27,2,246,4,0,430,24,575
3.60E+11,40.5746,-74.0567,792,397,395,686,62,0,24,0,2,18,771,21,2,358,6,9,485,148,499
3.60E+11,40.5746,-74.0567,1237,658,579,1064,98,1,29,0,13,32,1179,58,2,544,33,63,949,53,1401
3.60E+11,40.5746,-74.0567,743,403,340,601,61,1,63,0,5,12,712,31,2,318,12,0,565,0,799
3.60E+11,40.5746,-74.0567,786,410,376,672,61,0,29,0,8,16,755,31,2,356,13,0,601,70,795
3.60E+11,40.5746,-74.0567,1052,538,514,837,130,0,42,0,8,35,1011,41,2,457,14,104,784,45,1063
3.60E+11,40.5746,-74.0567,1593,818,775,874,468,17,115,0,55,64,1431,162,2,666,54,121,723,103,1176
3.60E+11,40.5746,-74.0567,981,534,447,361,447,10,33,0,78,52,817,164,2,406,58,33,633,296,756
3.60E+11,40.5746,-74.0567,855,434,421,369,387,1,20,2,32,44,779,76,2,348,22,15,347,163,508
3.60E+11,40.5746,-74.0567,800,427,373,495,199,4,36,0,27,39,729,71,2,343,11,82,477,21,898
3.60E+11,40.5746,-74.0567,1542,812,730,807,497,6,64,0,100,68,1344,198,2,651,42,92,943,24,1302
3.60E+11,40.5746,-74.0567,1271,653,618,484,489,12,163,0,43,80,1133,138,2,592,109,94,485,268,622
3.60E+11,40.5746,-74.0567,1429,640,789,980,322,2,41,1,26,57,1290,139,2,847,94,55,815,341,913
3.60E+11,40.5746,-74.0567,915,460,455,492,282,4,75,0,20,42,853,62,2,519,68,175,625,38,1106
3.60E+11,40.5746,-74.0567,946,493,453,125,683,4,30,2,49,53,812,134,2,457,93,116,442,227,699
3.60E+11,40.5746,-74.0567,1105,545,560,576,393,7,32,0,37,60,985,120,2,563,124,95,512,210,800
3.60E+11,40.5746,-74.0567,745,403,342,108,557,11,4,0,42,23,634,111,2,420,16,105,317,235,370
3.60E+11,40.5746,-74.0567,1380,700,680,463,594,10,143,1,78,91,1170,210,3,497,60,110,516,198,1054
3.60E+11,40.5746,-74.0567,1342,741,601,300,867,1,28,0,73,73,1164,178,3,504,64,73,696,342,1028
